 	Label	Area	Mean	Min	Max
119	sequence0118.tif	361920	1218.252	968	4095
120	sequence0119.tif	361920	1219.18	965	4095
121	sequence0120.tif	361920	1219.714	968	4095
122	sequence0121.tif	361920	1220.829	968	4095
123	sequence0122.tif	361920	1221.296	969	4095
124	sequence0123.tif	361920	1221.836	965	4095
125	sequence0124.tif	361920	1222.639	964	4095
126	sequence0125.tif	361920	1223.8	974	4095
127	sequence0126.tif	361920	1223.998	981	4095
128	sequence0127.tif	361920	1224.65	973	4095
129	sequence0128.tif	361920	1225.739	980	4095
130	sequence0129.tif	361920	1226.75	976	4095
131	sequence0130.tif	361920	1227.442	978	4095
132	sequence0131.tif	361920	1228.421	970	4095
133	sequence0132.tif	361920	1229.319	974	4095
134	sequence0133.tif	361920	1230.005	982	4095
135	sequence0134.tif	361920	1232.05	989	4095
136	sequence0135.tif	361920	1233.101	983	4095
137	sequence0136.tif	361920	1234.23	990	4095
138	sequence0137.tif	361920	1235.409	989	4095
139	sequence0138.tif	361920	1236.767	993	4095
140	sequence0139.tif	361920	1238.288	998	4095
141	sequence0140.tif	361920	1239.795	993	4095
142	sequence0141.tif	361920	1241.284	998	4095
143	sequence0142.tif	361920	1242.58	1004	4095
144	sequence0143.tif	361920	1244.467	1004	4095
145	sequence0144.tif	361920	1245.471	1000	4095
146	sequence0145.tif	361920	1246.395	999	4095
147	sequence0146.tif	361920	1247.973	1009	4095
148	sequence0147.tif	361920	1248.811	1001	4095
149	sequence0148.tif	361920	1223.096	999	4095
150	sequence0149.tif	361920	1229.554	993	4095
151	sequence0150.tif	361920	1230.632	1011	4095
152	sequence0151.tif	361920	1231.579	1002	4095
153	sequence0152.tif	361920	1233.385	1005	4095
154	sequence0153.tif	361920	1234.17	1000	4095
155	sequence0154.tif	361920	1236.27	1019	4095
156	sequence0155.tif	361920	1231.676	995	4095
157	sequence0156.tif	361920	1230.462	1007	4095
158	sequence0157.tif	361920	1232.407	1004	4095
159	sequence0158.tif	361920	1236.04	999	4095
160	sequence0159.tif	361920	1238.212	997	4095
161	sequence0000.tif	361920	1213.762	887	4095
162	sequence0001.tif	361920	1213.428	883	4095
163	sequence0002.tif	361920	1213.437	877	4095
164	sequence0003.tif	361920	1213.661	885	4095
165	sequence0004.tif	361920	1213.733	878	4095
166	sequence0005.tif	361920	1213.855	885	4095
167	sequence0006.tif	361920	1213.954	889	4095
168	sequence0007.tif	361920	1214.547	883	4095
169	sequence0008.tif	361920	1214.071	890	4095
170	sequence0009.tif	361920	1214.36	889	4095
171	sequence0010.tif	361920	956.65	704	4095
172	sequence0011.tif	361920	956.792	717	4095
173	sequence0012.tif	361920	957.02	705	4095
174	sequence0013.tif	361920	957.385	720	4095
175	sequence0014.tif	361920	957.505	715	4095
176	sequence0015.tif	361920	957.605	719	4095
177	sequence0016.tif	361920	957.681	708	4095
178	sequence0017.tif	361920	957.42	709	4095
179	sequence0018.tif	361920	957.454	714	4095
180	sequence0019.tif	361920	957.242	710	4095
181	sequence0020.tif	361920	494.122	363	4095
182	sequence0021.tif	361920	493.518	361	4095
183	sequence0022.tif	361920	493.306	367	4095
184	sequence0023.tif	361920	493.116	360	4095
185	sequence0024.tif	361920	493	356	4095
186	sequence0025.tif	361920	492.703	356	4095
187	sequence0026.tif	361920	492.599	363	4095
188	sequence0027.tif	361920	492.584	364	4095
189	sequence0028.tif	361920	492.424	363	4095
190	sequence0029.tif	361920	492.328	359	4095
191	sequence0030.tif	361920	326.154	232	4095
192	sequence0031.tif	361920	325.952	236	4095
193	sequence0032.tif	361920	325.873	241	4095
194	sequence0033.tif	361920	325.792	239	4095
195	sequence0034.tif	361920	325.718	236	4095
196	sequence0035.tif	361920	325.585	225	4095
197	sequence0036.tif	361920	325.536	234	4095
198	sequence0037.tif	361920	325.534	235	4095
199	sequence0038.tif	361920	325.273	235	4095
200	sequence0039.tif	361920	325.217	234	4095
201	sequence0040.tif	361920	260.408	187	4095
202	sequence0041.tif	361920	260.163	184	4095
203	sequence0042.tif	361920	260.151	180	4095
204	sequence0043.tif	361920	260.052	186	4095
205	sequence0044.tif	361920	260.072	179	4095
206	sequence0045.tif	361920	259.894	185	4095
207	sequence0046.tif	361920	260.045	185	4095
208	sequence0047.tif	361920	259.757	187	4095
209	sequence0048.tif	361920	259.828	185	4095
210	sequence0049.tif	361920	259.85	183	4095
211	sequence0050.tif	361920	259.873	186	4095
212	sequence0051.tif	361920	259.461	183	4095
213	sequence0052.tif	361920	259.081	185	4095
214	sequence0053.tif	361920	259.055	184	4095
215	sequence0054.tif	361920	721.042	529	4095
216	sequence0055.tif	361920	865.602	625	4095
217	sequence0056.tif	361920	929.909	666	4095
218	sequence0057.tif	361920	967.139	691	4095
219	sequence0058.tif	361920	992.814	721	4095
220	sequence0059.tif	361920	1011.932	733	4095
221	sequence0060.tif	361920	1027.058	743	4095
222	sequence0061.tif	361920	1040.095	756	4095
223	sequence0062.tif	361920	1050.224	758	4095
224	sequence0063.tif	361920	1058.778	764	4095
225	sequence0064.tif	361920	1066.222	761	4095
226	sequence0065.tif	361920	1072.661	782	4095
227	sequence0066.tif	361920	1077.832	768	4095
228	sequence0067.tif	361920	1083.176	786	4095
229	sequence0068.tif	361920	1087.112	782	4095
230	sequence0069.tif	361920	1091.422	786	4095
231	sequence0070.tif	361920	1095.002	783	4095
